"","Sample","Eruption","Volume.km3.","num_min_age.wrt2000AD.","num_max_age.wrt2000AD.","Reference","Zone","SiO2","TiO2","Al2O3","FeOt","MgO","CaO","Na2O","K2O"
"1","H16","Laxarhraun_yngra",2.5,2100,2100,"Kokfelt2006","NNVZ",49.41,1.53,14.94,11.25,7.52,12.75,2.08,0.16
"2","b1","Reykjaheidi",NA,0,5000,"Hemond1993","NNVZ",48.731,0.887,19.37,9.012,6.729,13.253,1.723,0.071
"3","l9358","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",49.49,0.95,15.27,10.05,8.81,13.21,1.9,0.07
"4","l9372","Arnahvammurhraun",0.01,8500,10300,"Slater2001Stracke2003a","NNVZ",48.25,0.78,15.46,9.56,11.24,12.75,1.7,0.04
"5","TH13elliott","Skessuhraun",0.01,8500,10300,"Slater2001Elliott1991","NNVZ",48.79,0.97,15.07,10.24,9.76,13.23,1.65,0.06
"6","TH13id","Skessuhraun",0.01,8500,10300,"Slater2001","NNVZ",48.89,0.96,14.96,9.54,9.29,14.18,1.85,0.05
"7","l9338","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",48.91,0.82,16.55,9.27,8.82,13.55,1.8,0.06
"8","408643","Arnahvammurhraun",0.01,8500,10300,"Skovgaard2001Breddam2000Peate2010","NNVZ",48.103,0.775,14.684,9.931,12.543,11.994,1.704,0.035
"9","l9371","Arnahvammurhraun",0.01,8500,10300,"Slater2001Stracke2003a","NNVZ",48.81,0.83,15.45,9.9,9.84,13.13,1.77,0.05
"10","l9378","Arnahvammurhraun",0.01,8500,10300,"Slater2001Stracke2003a","NNVZ",48.83,0.85,15.4,10.08,9.68,13.09,1.78,0.05
"11","9377","Hoefuheidharmuli",NA,0,12000,"Stracke2003a","NNVZ",48.422,0.806,14.893,9.234,12.322,12.363,1.683,0.042
"12","9370","Hoefuheidharmuli",NA,0,12000,"Stracke2003a","NNVZ",47.808,0.742,14.508,9.389,13.635,11.99,1.706,0.031
"13","TH8",NA,NA,0,10000,"Elliott1991","NNVZ",48.033,0.76,15.09,9.484,12.507,12.427,1.452,0.033
"14","th29","Hofudrhaun",NA,0,5000,"Hemond1993Fitton2003","NNVZ",47.878,0.506,13.525,8.286,15.865,12.608,1.14,0.011
"15","IC-152","Krafla",NA,12000,70000,"Kurz1985","NNVZ",49.845,1.043,16.13,9.329,8.667,12.719,1.986,0.15
"16","l9390","Picrites",0.01,10300,12000,"Slater2001Stracke2003a","NNVZ",46.32,0.42,11.11,8.9,21.65,10.3,1.11,0.01
"17","l9397","Picrites",0.01,10300,12000,"Slater2001Stracke2003a","NNVZ",46.66,0.46,11.66,8.85,20.23,10.72,1.23,0.01
"18","9376","Hoefuheidharmuli",NA,0,12000,"Stracke2003a","NNVZ",48.328,1.005,14.776,10.483,10.956,12.333,1.799,0.068
"19","9476","Hoefuheidharmuli",NA,0,12000,"Stracke2003a","NNVZ",48.2,0.769,14.975,9.459,12.16,12.4,1.807,0.04
"20","408634","Picrites",0.01,10300,12000,"Skovgaard2001Breddam2000Peate2010","NNVZ",45.727,0.384,9.973,8.96,24.438,9.346,0.971,0.016
"21","408635","Picrites",0.01,10300,12000,"Skovgaard2001Breddam2000Peate2010","NNVZ",46.701,0.368,12.161,8.028,20.229,11.245,1.082,0.015
"22","TH29","Picrites",0.01,10300,12000,"Skovgaard2001Peate2010","NNVZ",47.88,0.506,13.526,8.282,15.866,12.608,1.14,0.011
"23","l9391","Picrites",0.01,10300,12000,"Slater2001Stracke2003a","NNVZ",46.68,0.46,11.68,8.9,20.19,10.71,1.17,0.01
"24","TH29elliott","Picrites",0.01,10300,12000,"Slater2001Thirlwall2004","NNVZ",47.88,0.5,13.53,8.29,15.87,12.61,1.14,0.01
"25","TH29id","Picrites",0.01,10300,12000,"Slater2001","NNVZ",45.88,0.44,11.27,8.09,20.24,12.68,1.21,0.01
"26","9381","Picrites",0.01,10300,12000,"Stracke2003a","NNVZ",47.02,0.502,12.087,8.941,18.758,11.283,1.206,0.012
"27","l9389","Storavitishraun",18.4,11300,11300,"Slater2001Stracke2003a","NNVZ",49,0.82,17.49,8.95,7.85,13.83,1.79,0.05
"28","TH03xrf","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",48.83,0.95,15.14,10.34,9.97,12.52,1.92,0.09
"29","THO5xrf","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",48.8,1.07,16.4,9.79,7.26,14.06,2.21,0.12
"30","9395","Hoefuheidharmuli",NA,0,12000,"Stracke2003a","NNVZ",48.388,0.762,15.067,9.462,11.698,12.671,1.724,0.038
"31","ICE-6","Picrites",NA,NA,NA,"Brandon2007Nielsen2007Debaille2009","NNVZ",47.794,0.831,14.96,9.612,12.589,12.206,1.725,0.05
"32","l9388","Storavitishraun",18.4,11300,11300,"Slater2001","NNVZ",49.01,0.81,17.33,8.86,8.15,13.85,1.73,0.05
"33","l9385","Storavitishraun",18.4,11300,11300,"Slater2001Stracke2003a","NNVZ",49.01,0.86,16.77,9.24,8.35,13.65,1.83,0.05
